"ECD070B.Code.or.Value","ECD070B.Value.Description","ECD070B.Count","ECD070B.Cumulative","ECD070B.Skip.to.Item"
"0 to 15","Range of Values",3731,3731,NA
"7777","Refused",0,3731,NA
"9999","Don't know",63,3794,NA
".","Missing",115,3909,NA
