"PAQ759l.Code.or.Value","PAQ759l.Value.Description","PAQ759l.Count","PAQ759l.Cumulative","PAQ759l.Skip.to.Item"
"12","TENNIS",25,25,NA
".","Missing",9459,9484,NA
