"OSD030ba.Code.or.Value","OSD030ba.Value.Description","OSD030ba.Count","OSD030ba.Cumulative","OSD030ba.Skip.to.Item"
"2 to 78","Range of Values",503,503,NA
"80","80 or older",2,505,NA
"77777","Refused",0,505,NA
"99999","Don't know",1,506,NA
".","Missing",5712,6218,NA
