"AUXOTSPL.Code.or.Value","AUXOTSPL.Value.Description","AUXOTSPL.Count","AUXOTSPL.Cumulative","AUXOTSPL.Skip.to.Item"
"1","Yes (checkbox checked)",3689,3689,NA
"2","No (checkbox unchecked)",680,4369,NA
".","Missing",213,4582,NA
