"WHQ270.Code.or.Value","WHQ270.Value.Description","WHQ270.Count","WHQ270.Cumulative","WHQ270.Skip.to.Item"
"1","Yes",259,259,""
"2","No",2411,2670,"WHQ185"
"7","Refused",0,2670,"WHQ185"
"9","Don't know",0,2670,"WHQ185"
".","Missing",4219,6889,""
