"DR1TCOPP.Code.or.Value","DR1TCOPP.Value.Description","DR1TCOPP.Count","DR1TCOPP.Cumulative","DR1TCOPP.Skip.to.Item"
"0.022 to 20.318","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
