"FFQ0102A.Code.or.Value","FFQ0102A.Value.Description","FFQ0102A.Count","FFQ0102A.Cumulative","FFQ0102A.Skip.to.Item"
1,"Almost never or never",3750,3750,NA
2,"About 1/4 of the time",678,4428,NA
3,"About 1/2 of the time",576,5004,NA
4,"About 3/4 of the time",234,5238,NA
5,"Almost always or always",400,5638,NA
88,"Blank",829,6467,NA
99,"Error",5,6472,NA
