"DR2TRET.Code.or.Value","DR2TRET.Value.Description","DR2TRET.Count","DR2TRET.Cumulative","DR2TRET.Skip.to.Item"
"0 to 19389","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
