"MCQ160B.Code.or.Value","MCQ160B.Value.Description","MCQ160B.Count","MCQ160B.Cumulative","MCQ160B.Skip.to.Item"
"1","Yes",197,197,"MCQ180B"
"2","No",4822,5019,""
"7","Refused",0,5019,""
"9","Don't know",21,5040,""
".","Missing",4605,9645,""
