"DXXGPFAT.Code.or.Value","DXXGPFAT.Value.Description","DXXGPFAT.Count","DXXGPFAT.Cumulative","DXXGPFAT.Skip.to.Item"
"12.3 to 58.4","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
