"RDQ140.Code.or.Value","RDQ140.Value.Description","RDQ140.Count","RDQ140.Cumulative","RDQ140.Skip.to.Item"
"1","Yes",474,474,NA
"2","No",8887,9361,NA
"7","Refused",1,9362,NA
"9","Don't know",1,9363,NA
".","Missing",1,9364,NA
