"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",52,52,""
"2","No",4830,4882,"DRD370T"
".","Missing",4662,9544,""
