"LBDRFOSI.Code.or.Value","LBDRFOSI.Value.Description","LBDRFOSI.Count","LBDRFOSI.Cumulative","LBDRFOSI.Skip.to.Item"
"114 to 6750","Range of Values",8460,8460,NA
".","Missing",962,9422,NA
