"OSD030bg.Code.or.Value","OSD030bg.Value.Description","OSD030bg.Count","OSD030bg.Cumulative","OSD030bg.Skip.to.Item"
"9","9",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",6217,6218,NA
