"WBXP098.Code.or.Value","WBXP098.Value.Description","WBXP098.Count","WBXP098.Cumulative","WBXP098.Skip.to.Item"
"-177.2509 to 176.4463","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
