"DR2IVB2.Code.or.Value","DR2IVB2.Value.Description","DR2IVB2.Count","DR2IVB2.Cumulative","DR2IVB2.Skip.to.Item"
"0 to 15.36","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
