"DX2STBMC.Code.or.Value","DX2STBMC.Value.Description","DX2STBMC.Count","DX2STBMC.Cumulative","DX2STBMC.Skip.to.Item"
"970.85 to 3523.23","Range of Values",414,414,NA
".","Missing",71,485,NA
