"OPXDF2.Code.or.Value","OPXDF2.Value.Description","OPXDF2.Count","OPXDF2.Cumulative","OPXDF2.Skip.to.Item"
"0","Absent",57,57,NA
"2","Present",3267,3324,NA
".","Missing",539,3863,NA
