"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",51,51,""
"2","No",1976,2027,"DRD370J"
".","Missing",8450,10477,""
