"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",478,478,""
"2","No",4811,5289,"DRD370F"
".","Missing",4049,9338,""
