"DR1ISODI.Code.or.Value","DR1ISODI.Value.Description","DR1ISODI.Count","DR1ISODI.Cumulative","DR1ISODI.Skip.to.Item"
"0 to 9262","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
