"DR2TLYCO.Code.or.Value","DR2TLYCO.Value.Description","DR2TLYCO.Count","DR2TLYCO.Cumulative","DR2TLYCO.Skip.to.Item"
"0 to 152826","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
