"CIQP66.Code.or.Value","CIQP66.Value.Description","CIQP66.Count","CIQP66.Cumulative","CIQP66.Skip.to.Item"
"0 to 10","Range of Values",13,13,NA
"77","Refused",0,13,NA
"99","Don't know",0,13,NA
".","Missing",915,928,NA
