"URXUCD.Code.or.Value","URXUCD.Value.Description","URXUCD.Count","URXUCD.Cumulative","URXUCD.Skip.to.Item"
"0.03 to 14.94","Range of Values",2543,2543,NA
"-0.03","First Fill Value of Limit of Detection",0,2543,NA
"-0.04","Second Fill Value of Limit of Detection",0,2543,NA
".","Missing",130,2673,NA
