"LBDD01LC.Code.or.Value","LBDD01LC.Value.Description","LBDD01LC.Count","LBDD01LC.Cumulative","LBDD01LC.Skip.to.Item"
"0","detectable result",995,995,NA
"1","below detectable limit",883,1878,NA
".","Missing",407,2285,NA
