"URXUTM.Code.or.Value","URXUTM.Value.Description","URXUTM.Count","URXUTM.Cumulative","URXUTM.Skip.to.Item"
"0.71 to 53.6","Range of Values",2588,2588,NA
".","Missing",104,2692,NA
