"PFD069J.Code.or.Value","PFD069J.Value.Description","PFD069J.Count","PFD069J.Cumulative","PFD069J.Skip.to.Item"
"60 to 23725","Range of Values",147,147,NA
"66666","Since birth",0,147,NA
"77777","Refused",0,147,NA
"99999","Don't know",6,153,NA
".","Missing",10317,10470,NA
