"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"3.1 to 193.3","Range of Values",9197,9197,NA
".","Missing",85,9282,NA
