"RFXT098.Code.or.Value","RFXT098.Value.Description","RFXT098.Count","RFXT098.Cumulative","RFXT098.Skip.to.Item"
"849 to 858","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
