"DID250.Code.or.Value","DID250.Value.Description","DID250.Count","DID250.Cumulative","DID250.Skip.to.Item"
"1 to 200","Range of Values",522,522,NA
"0","None",13,535,NA
"7777","Refused",0,535,NA
"9999","Don't know",0,535,NA
".","Missing",8829,9364,NA
