"SSTTGR.Code.or.Value","SSTTGR.Value.Description","SSTTGR.Count","SSTTGR.Cumulative","SSTTGR.Skip.to.Item"
"NEG","NEG",2017,2017,NA
"POS","POS",6,2023,NA
"WKPOS","WKPOS",9,2032,NA
"< blank >","Missing",9,2041,NA
