"BAXPFC41.Code.or.Value","BAXPFC41.Value.Description","BAXPFC41.Count","BAXPFC41.Cumulative","BAXPFC41.Skip.to.Item"
"1","Pass",1144,1144,"End of Section"
"2","Dnp(did not pass)",1289,2433,""
".","Missing",751,3184,""
