"KIQ042.Code.or.Value","KIQ042.Value.Description","KIQ042.Count","KIQ042.Cumulative","KIQ042.Skip.to.Item"
"1","Yes",969,969,""
"2","No",3705,4674,"KIQ044"
"7","Refused",0,4674,"KIQ044"
"9","Don't know",8,4682,"KIQ044"
".","Missing",878,5560,""
