"MCQ170M.Code.or.Value","MCQ170M.Value.Description","MCQ170M.Count","MCQ170M.Cumulative","MCQ170M.Skip.to.Item"
"1","Yes",412,412,NA
"2","No",120,532,NA
"7","Refused",0,532,NA
"9","Don't know",22,554,NA
".","Missing",9112,9666,NA
