"LBDSCUSI.Code.or.Value","LBDSCUSI.Value.Description","LBDSCUSI.Count","LBDSCUSI.Cumulative","LBDSCUSI.Skip.to.Item"
"3.88 to 46.71","Range of Values",2520,2520,NA
".","Missing",235,2755,NA
