"SSFIML.Code.or.Value","SSFIML.Value.Description","SSFIML.Count","SSFIML.Cumulative","SSFIML.Skip.to.Item"
"0","At or above LLOQ",5896,5896,NA
"1","Below LLOQ",7,5903,NA
".","Missing",8,5911,NA
