"DR1TCRYP.Code.or.Value","DR1TCRYP.Value.Description","DR1TCRYP.Count","DR1TCRYP.Cumulative","DR1TCRYP.Skip.to.Item"
"0 to 24328","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
