"PFD069G.Code.or.Value","PFD069G.Value.Description","PFD069G.Count","PFD069G.Cumulative","PFD069G.Skip.to.Item"
"2 to 29200","Range of Values",303,303,NA
"66666","Since birth",2,305,NA
"77777","Refused",0,305,NA
"99999","Don't know",4,309,NA
".","Missing",10161,10470,NA
