"DR1IS080.Code.or.Value","DR1IS080.Value.Description","DR1IS080.Count","DR1IS080.Cumulative","DR1IS080.Skip.to.Item"
"0 to 9.175","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
