"DXDRALE.Code.or.Value","DXDRALE.Value.Description","DXDRALE.Count","DXDRALE.Cumulative","DXDRALE.Skip.to.Item"
"619.1 to 7438.2","Range of Values",4669,4669,NA
".","Missing",1023,5692,NA
