"DRXTM201.Code.or.Value","DRXTM201.Value.Description","DRXTM201.Count","DRXTM201.Cumulative","DRXTM201.Skip.to.Item"
"0 to 18.119","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
