"WBXP059.Code.or.Value","WBXP059.Value.Description","WBXP059.Count","WBXP059.Cumulative","WBXP059.Skip.to.Item"
"-94.255 to 147.8799","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
