"DS1IPROT.Code.or.Value","DS1IPROT.Value.Description","DS1IPROT.Count","DS1IPROT.Cumulative","DS1IPROT.Skip.to.Item"
"0.02 to 46","Range of Values",160,160,NA
".","Missing",5534,5694,NA
