"DSQISFAT.Code.or.Value","DSQISFAT.Value.Description","DSQISFAT.Count","DSQISFAT.Cumulative","DSQISFAT.Skip.to.Item"
"0.023 to 3","Range of Values",198,198,NA
".","Missing",8071,8269,NA
