"LBCD07LA.Code.or.Value","LBCD07LA.Value.Description","LBCD07LA.Count","LBCD07LA.Cumulative","LBCD07LA.Skip.to.Item"
"71.7 to 1030","Range of Values",246,246,NA
".","Missing",18,264,NA
