"DSQTCHOL.Code.or.Value","DSQTCHOL.Value.Description","DSQTCHOL.Count","DSQTCHOL.Cumulative","DSQTCHOL.Skip.to.Item"
"0.1 to 110","Range of Values",322,322,NA
".","Missing",10215,10537,NA
