"LBXPDELA.Code.or.Value","LBXPDELA.Value.Description","LBXPDELA.Count","LBXPDELA.Cumulative","LBXPDELA.Skip.to.Item"
"3.748 to 24200","Range of Values",2298,2298,NA
".","Missing",249,2547,NA
