"DID060.Code.or.Value","DID060.Value.Description","DID060.Count","DID060.Cumulative","DID060.Skip.to.Item"
"1 to 55","Range of Values",249,249,NA
"666","Less than 1 month",5,254,NA
"777","Refused",0,254,NA
"999","Don't know",2,256,NA
".","Missing",9319,9575,NA
