"DR2IS040.Code.or.Value","DR2IS040.Value.Description","DR2IS040.Count","DR2IS040.Cumulative","DR2IS040.Skip.to.Item"
"0 to 3.809","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
