"BMXLEG.Code.or.Value","BMXLEG.Value.Description","BMXLEG.Count","BMXLEG.Cumulative","BMXLEG.Skip.to.Item"
"22.1 to 55.5","Range of Values",7304,7304,NA
".","Missing",2458,9762,NA
