"LBXSC3SI.Code.or.Value","LBXSC3SI.Value.Description","LBXSC3SI.Count","LBXSC3SI.Cumulative","LBXSC3SI.Skip.to.Item"
"10 to 40","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
