"PEASCST1.Code.or.Value","PEASCST1.Value.Description","PEASCST1.Count","PEASCST1.Cumulative","PEASCST1.Skip.to.Item"
"1","Complete",9512,9512,NA
"2","Partial",101,9613,NA
"3","Not done",337,9950,NA
".","Missing",0,9950,NA
