"URXDAZ.Code.or.Value","URXDAZ.Value.Description","URXDAZ.Count","URXDAZ.Cumulative","URXDAZ.Skip.to.Item"
"0.3 to 22600","Range of Values",2528,2528,NA
".","Missing",110,2638,NA
