"LBDRBF.Code.or.Value","LBDRBF.Value.Description","LBDRBF.Count","LBDRBF.Cumulative","LBDRBF.Skip.to.Item"
"85.7 to 2984.5","Range of Values",8243,8243,NA
".","Missing",1064,9307,NA
