"HID040.Code.or.Value","HID040.Value.Description","HID040.Count","HID040.Cumulative","HID040.Skip.to.Item"
"1","Yes",6483,6483,NA
"2","No",2148,8631,NA
"7","Refused",4,8635,NA
"9","Don't know",242,8877,NA
".","Missing",2162,11039,NA
