"PAQ050Q.Code.or.Value","PAQ050Q.Value.Description","PAQ050Q.Count","PAQ050Q.Cumulative","PAQ050Q.Skip.to.Item"
"1 to 75","Range of Values",2187,2187,NA
"77777","Refused",0,2187,NA
"99999","Don't know",1,2188,NA
".","Missing",7000,9188,NA
