"MPQ120i.Code.or.Value","MPQ120i.Value.Description","MPQ120i.Count","MPQ120i.Cumulative","MPQ120i.Skip.to.Item"
"18","Lower arm - right",52,52,NA
".","Missing",4828,4880,NA
