"LBXHCT.Code.or.Value","LBXHCT.Value.Description","LBXHCT.Count","LBXHCT.Cumulative","LBXHCT.Skip.to.Item"
"19.7 to 55.5","Range of Values",8400,8400,NA
".","Missing",1040,9440,NA
