"DID060.Code.or.Value","DID060.Value.Description","DID060.Count","DID060.Cumulative","DID060.Skip.to.Item"
"1 to 56","Range of Values",207,207,NA
"666","Less than 1 month",2,209,NA
"777","Refused",0,209,NA
"999","Don't know",4,213,NA
".","Missing",9151,9364,NA
