"URXHCTT.Code.or.Value","URXHCTT.Value.Description","URXHCTT.Count","URXHCTT.Cumulative","URXHCTT.Skip.to.Item"
"0.021 to 70600","Range of Values",2572,2572,NA
".","Missing",183,2755,NA
