"DSQIPFAT.Code.or.Value","DSQIPFAT.Value.Description","DSQIPFAT.Count","DSQIPFAT.Cumulative","DSQIPFAT.Skip.to.Item"
"0.25 to 16","Range of Values",279,279,NA
".","Missing",8006,8285,NA
