"ALQ140U.Code.or.Value","ALQ140U.Value.Description","ALQ140U.Count","ALQ140U.Cumulative","ALQ140U.Skip.to.Item"
"1","Week",399,399,NA
"2","Month",306,705,NA
"3","Year",795,1500,NA
"7","Refused",0,1500,NA
"9","Don't know",0,1500,NA
".","Missing",4559,6059,NA
