"DRXTVB1.Code.or.Value","DRXTVB1.Value.Description","DRXTVB1.Count","DRXTVB1.Cumulative","DRXTVB1.Skip.to.Item"
"0 to 18.6","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
