"INQ140.Code.or.Value","INQ140.Value.Description","INQ140.Count","INQ140.Cumulative","INQ140.Skip.to.Item"
"1","Yes",2409,2409,NA
"2","No",7959,10368,NA
"7","Refused",56,10424,NA
"9","Don't know",45,10469,NA
".","Missing",68,10537,NA
